PAYMENT_ID,POLICY_ID,PAYMENT_DATE,PAYMENT_AMOUNT,PAYMENT_METHOD,STATUS
PMT-POL123-1,POL123,2024-01-01,398.18,Credit Card,Failed
PMT-POL123-2,POL123,2024-01-31,398.18,Credit Card,Failed
PMT-POL123-3,POL123,2024-03-01,398.18,Check,Failed
PMT-POL123-4,POL123,2024-03-31,398.18,Credit Card,Failed
PMT-POL123-5,POL123,2024-04-30,398.18,Bank Transfer,Failed
PMT-POL123-6,POL123,2024-05-30,398.18,Credit Card,Failed
PMT-POL123-7,POL123,2024-06-29,398.18,Credit Card,Pending
PMT-POL123-8,POL123,2024-07-29,398.18,Bank Transfer,Failed
PMT-POL123-9,POL123,2024-08-28,398.18,Credit Card,Failed
PMT-POL123-10,POL123,2024-09-27,398.18,Credit Card,Pending
PMT-POL123-11,POL123,2024-10-27,398.18,Bank Transfer,Pending
PMT-POL123-12,POL123,2024-11-26,398.18,Credit Card,Pending
PMT-POL124-1,POL124,2024-01-01,300.52,Bank Transfer,Pending
PMT-POL124-2,POL124,2024-04-01,300.52,Check,Pending
PMT-POL124-3,POL124,2024-07-01,300.52,Bank Transfer,Pending
PMT-POL124-4,POL124,2024-09-30,300.52,Bank Transfer,Pending
PMT-POL125-1,POL125,2024-01-01,4397.79,Credit Card,Pending
PMT-POL126-1,POL126,2024-01-01,937.25,Check,Failed
PMT-POL126-2,POL126,2024-04-01,937.25,Check,Completed
PMT-POL126-3,POL126,2024-07-01,937.25,Bank Transfer,Completed
PMT-POL126-4,POL126,2024-09-30,937.25,Credit Card,Failed
PMT-POL127-1,POL127,2024-01-01,110.44,Credit Card,Pending
PMT-POL127-2,POL127,2024-01-31,110.44,Check,Failed
PMT-POL127-3,POL127,2024-03-01,110.44,Credit Card,Failed
PMT-POL127-4,POL127,2024-03-31,110.44,Check,Pending
PMT-POL127-5,POL127,2024-04-30,110.44,Credit Card,Completed
PMT-POL127-6,POL127,2024-05-30,110.44,Check,Pending
PMT-POL127-7,POL127,2024-06-29,110.44,Bank Transfer,Failed
PMT-POL127-8,POL127,2024-07-29,110.44,Bank Transfer,Pending
PMT-POL127-9,POL127,2024-08-28,110.44,Credit Card,Pending
PMT-POL127-10,POL127,2024-09-27,110.44,Bank Transfer,Completed
PMT-POL127-11,POL127,2024-10-27,110.44,Credit Card,Completed
PMT-POL127-12,POL127,2024-11-26,110.44,Bank Transfer,Pending
PMT-POL128-1,POL128,2024-01-01,50.31,Bank Transfer,Failed
PMT-POL128-2,POL128,2024-01-31,50.31,Bank Transfer,Pending
PMT-POL128-3,POL128,2024-03-01,50.31,Check,Pending
PMT-POL128-4,POL128,2024-03-31,50.31,Bank Transfer,Pending
PMT-POL128-5,POL128,2024-04-30,50.31,Bank Transfer,Completed
PMT-POL128-6,POL128,2024-05-30,50.31,Credit Card,Pending
